id,type,location,sha1sum
1,standard,b39317e189dd24e907565de4277ea00b/logo.png,ef699f15c7b18f5c900f22b0b915a781c4919b24
2,standard,70fdcc239868fe4c1c8aa340fb6e2e5f/logo.png,ef699f15c7b18f5c900f22b0b915a781c4919b24
3,standard,7c0c89b272bb3d624cb25464889ead2a/banner.png,fa0def6789a2462bb1ec9b64ae4923254c6cacac
4,challenge,032854fd24862639cb92b0a43527fc2c/recovered_fragment.bin,6a3fb2592e62c4d3e07397bf4d8d98b471392ae1
5,standard,173557e86b0fe362e4ba4f9a69e32c6d/Gemini_Generated_Image_pch6ltpch6ltpch6.png,8f744aa03eb6f32f791bc46510de7282d74dd9f3
6,standard,4d84b851b47fd626c131a3a58fe9cac7/Gemini_Generated_Image_fpk6fjfpk6fjfpk6.png,e45c56bfa0bf29f2a565a1557a94d9bec571e5ba
12,page,6bb51f72cb2abec9ee8136ebb7c97b71/ish.png,e44b5ebc40046ac1c5866460f50c414f12dc9929
13,standard,2df1e1230202fc237559d1b52734bc84/ishtar.png,d347150bbd6911d2b0403189d8c3edb2e4334b6b
14,standard,1b62a3739cad4c7411eda3dc963e6f1f/ishtar.png,d347150bbd6911d2b0403189d8c3edb2e4334b6b
15,challenge,0efad7175485a572300d4882e750f9ee/error_d0c...txt,99439a892c9ee9e50b45c4f6c1e2429754c46b9f
16,challenge,42e842545e61a7c39d343fcb8be1e2da/sylorin_fragment_T0.txt,00e1de3b7cfb8b5eb6154be8f46150e87131046f
18,challenge,da7cb9ee8c326a5a006949079e47de95/broken.py,921dc0280debef452f41550ec6c564442f5023c4
19,solution,5d29ec7f951ef70b312d712071c4d76e/decode_whitespace.py,45f31bd8f8d721f2943bec21518d4914f516813b
21,challenge,94d57098b995d5254867297b3f74d977/dominance.log,e88421237a495ad9a8eae882b381583b86239288
22,challenge,45c331141302be7f469281cb5fff4ee8/flower.md,9b3d0dfa4157e00f4f622047b0afcedcc2ed4acb
23,challenge,c3aca0b29ec4d6c82f42e62252f9408b/patternfall.pcap,3d03a460d0f439f220b2490fb0c70e334ac90b61
24,challenge,ed43639a3f45fb8489d4359c605de729/phlegethon.html,cf153ebaf208250264525547902cf30856f12453
25,challenge,075c477244b755a619022ef54b5534a9/untamed.js,a32272fea53dcc509fa678b7823e1bd27e81866c
26,challenge,d907f79df459a5f3d7584ab2ea3638db/endangered.py,f51910ad9b049c0a1f09e280ead381caebf212e3
27,challenge,5430cb8e77f8649086c9f2c791cb38ec/nepotistic.sh,884d26ba8ad9e9b605e3f0ad8b67cf380c2745c4
28,challenge,27c860a16b840e11676fa7e161c592fd/defiant.css,82553bc6b620be303479f69a73e8e0d8abcedecc
29,challenge,c2f13242da8533b344209164a6a658f9/aaa.png,92a3e5c03b74e1893a5a7b60ba37a0b39b8e0d2c
30,challenge,2b9f1f4ec6d88d129e24ae975ed7d5c1/challenge.bin,cf30169e6599f65590f3117d5ce531855b10da60
31,challenge,eaa576f5c8e887548883a021c300c464/container.zip,455d548472d854be81541d0b4cdfb1803e56e955
32,challenge,b561dde5fb9b431c3384fbc6bbe9c82e/ISHTAR_EXEMPLAR_HANDBOOK.md,dc497c5a014526d734f9d81397c8b66b95e9cb76
