id,title,type,challenge_id,content,cost,requirements
1,Flag 2 hint,standard,6,"Ishtar recovery specialists used signature analysis tools to extract embedded files from archive containers.

Tool: binwalk

Command format:

binwalk --dd='png:png' challenge.bin",100,{'prerequisites': []}
2,Hint 1,standard,10,Dont edit the file or you will definately break it guardian,0,{'prerequisites': []}
3,Hint 2,standard,10,"Whitespace Steganography

More specifically:

* Trailing Whitespace Encoding
* 
* Binary encoding using spaces and tabs
* 
* A form of text-based steganography

It falls under:

Steganography — hiding information inside non-obvious carriers.
Instead of hiding data in images or audio, you're hiding it in:
Invisible formatting characters.",0,{'prerequisites': []}
4,Hint 3,standard,10,"Cant figure it out yet its Hex data hidden as spaces find the hex in a pattern.


If you still didnt get it ill give it for free solve the next challenge if you do youll get the answer for this for free",20,"{'prerequisites': [2, 3]}"
5,Hint 1,standard,11,broken python file execute it right to get it flowing,0,{'prerequisites': []}
6,Hint 1,standard,13,"	The gardener got up and brushed their knees. ""Every game we play, this one pattern consumes all the others. Wipes out every interesting development. A stupid, boring exploit that cuts off entire possibility spaces from ever arising. There's so much that we'll never get to see because of this… pest.""
	
	find the pest that will unlock your pattern",0,{'prerequisites': []}
7,Hint 1,standard,17,Some guy named Jason Loves Web tokenses it looks like,0,{'prerequisites': []}
8,Hint 1,standard,24,Load the image and run it with Docker. You are looking for a file that shares its name with the ship. It is not a directory. It is not a text file. Use the right tool to read what is hidden inside it.,300,{'prerequisites': []}
9,Hint 1,standard,26,"Yul speaks through honesty. Nothing is conjured from nothing — everything left behind has a trace. Look at what runs, what is scheduled, and what has been given unusual power.",0,{'prerequisites': []}
10,Hint 2,standard,26,The machine runs a web terminal on port 8080. You must start the container with -p 8080:8080 or the third truth will never surface. Open your browser at http://localhost:8080 once inside.,0,{'prerequisites': [9]}
11,Hint 3,standard,26,The schedule leaves its instructions in /etc/cron.d/. Read what the cron job points to. The script it calls was never cleaned up properly.,100,"{'prerequisites': [9, 10]}"
12,Hint 4,standard,26,Some binaries are given capabilities instead of full root access. Run getcap -r / 2>/dev/null to find what was granted unusual power — then use it to reach what is locked away in /var/lib/yul/.,100,"{'prerequisites': [9, 10, 11]}"
13,Hint 5,standard,26,The website uses multi-prime RSA. Factor n = 151951 into three primes. Compute φ(n) = (p−1)(q−1)(r−1). Find d such that 17·d ≡ 1 (mod φ(n)). Enter d into the decryption interface.,100,"{'prerequisites': [9, 10, 11, 12]}"
